Name ,lon,lat
Hospital Pekan,103.3801102,3.5022692
Hospital Pekan,103.3801102,3.5022692
Hospital Pengajar UPM,101.7181633,2.980436
Hospital Permai,103.7066062,1.5214848
Hospital Pitas,117.0296452,6.7119297
Hospital Pontian,103.3852071,1.4984596
Hospital Port Dickson,101.8550101,2.4777276
Hospital Pulau Pinang,100.3114489,5.4170514
Hospital Putrajaya,101.6741956,2.9290529
Hospital Queen Elizabeth,116.0726099,5.9568339
Hospital Queen Elizabeth Ii,116.0937928,5.9664872
Hospital Raja Perempuan Zainab Ii,102.245712,6.1252883
Hospital Ranau,116.670941,5.9533942
Hospital Raub,101.8514277,3.8099055
Hospital Rembau,102.0735341,2.5995408
Hospital Rompin,103.496112,2.7960999
Hospital Saratok,111.3397193,1.7471428
Hospital Sarikei,111.4920017,2.1319958
Hospital Seberang Jaya,100.4078271,5.3941082
Hospital Segamat,102.8590632,2.4932691
Hospital Selama,100.6888752,5.2131237
Hospital Selayang,101.6467804,3.2431721
Hospital Sentosa,110.3298364,1.4629967
Hospital Serdang,101.720225,2.9761982
Hospital Seri Manjung,100.6618251,4.1855526
Hospital Serian,110.5636098,1.1762658
Hospital Setiu,102.7695167,5.5141275
Hospital Shah Alam,101.4891012,3.0710103
Hospital Sibu,111.891889,2.296471
Hospital Sik,100.7269887,5.8122196
Hospital Simunjan,110.7862545,1.3700471
Hospital Sipitang,115.562959,5.0964878
Hospital Slim River,101.4051714,3.8387897
Hospital Sri Aman,111.4629353,1.2343801
Hospital Sultan Abdul Halim,100.5174146,5.6695817
Hospital Sultan Ahmad Shah,102.4531753,3.453226
Hospital Sultan Hj Ahmad Shah,102.4531753,3.453226
Hospital Sultan Ismail Johor Bahru,103.790894,1.5463271
Hospital Sultan Ismail Petra,101.975766,4.210484
Hospital Sultanah Aminah,103.7460296,1.4585029
Hospital Sultanah Bahiyah,100.4063735,6.1488245
Hospital Sultanah Hajjah Kalsom,101.3912089,4.4667742
Hospital Sultanah Nora Ismail,102.9400301,1.8362454
Hospital Sultanah Nur Zahirah,103.1506737,5.323906
Hospital Sungai Bakap,100.4972446,5.2192779
Hospital Sungai Buluh,101.5830811,3.219573
Hospital Taiping,100.7368622,4.8510726
Hospital Tambunan,116.3710304,5.6825392
Hospital Tampin,102.2336438,2.484776
Hospital Tanah Merah,102.1523233,5.8099911
Hospital Tangkak,102.5468192,2.2720635
Hospital Tanjung Karang,101.17892,3.425257
Hospital Tapah,101.2596117,4.2018538
Hospital Tawau,117.8807429,4.2498168
Hospital Teluk Intan,101.0403233,4.0046049
Hospital Temenggong Seri Maharaja Tun Ibrahim,103.6238512,1.6397458
Hospital Tengku Ampuan Afzan,103.3215148,3.8009173
Hospital Tengku Ampuan Afzan,103.3215148,3.8009173
Hospital Tengku Ampuan Jemaah,100.9893055,3.7591076
Hospital Tengku Ampuan Rahimah,101.4398648,3.0205787
Hospital Tengku Anis,102.3877575,5.8329518
Hospital Tenom,115.941286,5.1231747
Hospital Tuanku Ampuan Najihah,102.2330869,2.7348657
Hospital Tuanku Fauziah,100.1913676,6.4408811
Hospital Tuanku Ja'Afar,101.9448302,2.7097523
Hospital Tuaran,116.219027,6.143924
Hospital Tumpat,102.1573041,6.1897387
Hospital Umum Sarawak,110.339635,1.543644
"Hospital Wanita Dan Kanak - Kanak, Likas",116.1194999,6.0138039
Hospital Yan,100.3843033,5.8210286
Ideal Convention Centre (IDCC),101.5262653,3.0661007
Indoor Stadium,101.6934357,3.0538134
Institut Kanser Negara,101.6739021,2.926907
Institut Latihan Islam Malaysia,101.7475974,2.9528237
KK Bandar Penawar,104.219055,1.562911
KK Munggu Lallang,110.9229736,1.2459399
KK Tenggaroh 2,103.94815,2.086953
Klinik Dr Nina,101.7375571,2.8119569
Klinik Hazra Medic,101.6559225,2.9242341
Klinik Icon Seremban 2,101.9066896,2.6852926
Klinik Kesihatan Ampangan,101.9895116,2.7232357
Klinik Kesihatan Astana Raja,102.1194783,2.5080642
Klinik Kesihatan Bahau,102.3778618,2.8031332
Klinik Kesihatan Balok,103.3724814,3.9330656
Klinik Kesihatan Beserah,103.3625411,3.8500244
Klinik Kesihatan Bukit Goh (Felda),103.257095,3.913165
Klinik Kesihatan Bukit Pelandok,101.7614688,2.6372465
Klinik Kesihatan Chennah,102.0738983,3.0906057
Klinik Kesihatan Chenor,102.5456052,3.5070249
Klinik Kesihatan Damak,102.2088163,3.9525008
Klinik Kesihatan Felda Lepar Utara 4,102.6993783,3.9164232
Klinik Kesihatan Gambang,103.031,3.67572
Klinik Kesihatan Gemas,102.6046494,2.5841161
Klinik Kesihatan Gemencheh,102.3997979,2.532729
Klinik Kesihatan Gunung Pasir,102.1457981,2.668071
Klinik Kesihatan Indera Mahkota,103.2871381,3.8243291
Klinik Kesihatan Jaya Gading,103.204236,3.753344
Klinik Kesihatan Jelai,102.4889961,2.6458473
Klinik Kesihatan Jengka 22,102.476,3.71853
Klinik Kesihatan Jerantut Feri,102.4241561,3.9584174
Klinik Kesihatan Johol,102.2682842,2.6091365
Klinik Kesihatan Juasseh,102.303,2.79334
Klinik Kesihatan Kuala Pilah,102.2492523,2.7363753
Klinik Kesihatan Kurnia,103.2857078,3.7799047
Klinik Kesihatan Lui Muda,102.369,3.02601
Klinik Kesihatan Lukut,101.837447,2.5758982
Klinik Kesihatan Mantin,101.8930734,2.824917
Klinik Kesihatan Merapoh,102.000603,4.693772
Klinik Kesihatan Nilai,101.7925667,2.8239502
