Name,Address,Province,lon,lat
Copper Ridge IDA Pharmacy,L6Y 0B4,Ontario,-79.7701267,43.6296051
Costco Pharmacy,L6W 4S1,Ontario,-79.7112406,43.6824496
Credit Ridge Remedy’s Rx Pharmacy,L6X 0Z8,Ontario,-79.8086621,43.6538539
Creditview IDA Pharmacy,L7A 4X3,Ontario,-79.8487122,43.6976056
Cumberland Pharmacy,L6V 1X9,Ontario,-79.7601399,43.703331
Dukh Bhanjan Pharmacy,L6Y 0M2,Ontario,-79.7587381,43.6512895
Father Tobin Pharmacy,L6R 0W9,Ontario,-79.7573217,43.7702683
Fortinos,L6R 1W4,Ontario,-79.7312242,43.7598342
Fortinos,L6V 1K2,Ontario,-79.7591762,43.6947189
Fortinos,L7A 2Y7,Ontario,-79.8149662,43.6823137
Freshco,L6P 2R1,Ontario,-79.6612622,43.7844175
Freshco Pharmacy,L6Y 1M1,Ontario,-79.788324,43.6346793
Gateway Medical Plex Pharmacy,L6T 0H8,Ontario,-79.701443,43.738
Gore Pharmacy IDA,L6P 2K7,Ontario,-79.6579293,43.7736063
James Potter Road Pharmacy,L6X 3B9,Ontario,-79.8133027,43.6727446
Kennedy Medical Plex Pharmacy I.D.A.,L6W 2W1,Ontario,-79.7306107,43.6773078
Kensington Pharmacy,L6T 4S5,Ontario,-79.7170258,43.7228503
Lacoste Pharmacy Pharmasave,L6P 2K2,Ontario,-79.7510281,43.7875304
Lionhead Pharmacy,L6Y 1M1,Ontario,-79.788324,43.6346793
Loblaw,L6Y 0K3,Ontario,-79.7340285,43.6634504
Medi Plus Pharmacy,L6Y 1Y5,Ontario,-79.7625929,43.6783433
Metro Pharmacy,L6R 2K7,Ontario,-79.7662723,43.7333772
Metro Pharmacy,L6T 3R5,Ontario,-79.72246,43.7143029
Midha Pharmacy Inc,L7A 4S2,Ontario,-79.8149568,43.6904104
Nexus Pharmacy and Herbals,L6P 4L9,Ontario,-79.6597322,43.7741237
No Frills,L6W 3R1,Ontario,-79.7393741,43.7028637
