Site.Name,Add,Site...GP.NHS.VHC.Covid.Clinic,Region,lon,lat
Glenluce Village Hall ,DG8 0PR,Covid-19 Vaccination Clinic,Dumfries,-4.8103657,54.878721
Newton Stewart – McMillan Hall ,DG8 6EQ,Covid-19 Vaccination Clinic,Dumfries,-4.4836344,54.9562194
Whithorn GP Practice,DG8 8 PS,GP Practice,Dumfries,-4.415054,54.7371039
Castle Douglas Town Hall,DG7 1DE,Covid-19 Vaccination Clinic,Dumfries,-3.932971,54.9392864
Dalbeattie Town Hall,DG5 4AD,Covid-19 Vaccination Clinic,Dumfries,-3.8218042,54.9327528
Kirkcudbright Pipe Band Hall,DG6 4AJ,Covid-19 Vaccination Clinic,Dumfries,-4.0519188,54.8359417
Sanquhar Community Hall,DG4 6BT,Covid-19 Vaccination Clinic,Dumfries,-3.9250472,55.3698548
Thornhill Rehab Unit,DG3 5AA,Covid-19 Vaccination Clinic,Dumfries,-3.7655951,55.2349481
Mountainhall Vaccination Centre,DG1 4AP,Covid-19 Vaccination Clinic,Dumfries,-3.599235,55.0563054
Loreburn Hall,DG1 2HP,Covid-19 Vaccination Clinic,Dumfries,-3.6073807,55.0700924
Palmerston Football Club,DG2 9BA,Covid-19 Vaccination Clinic,Dumfries,-3.625434,55.0699786
Market Hall,DG12 6EE,Covid-19 Vaccination Clinic,Dumfries,-3.2612105,54.986927
Ecclefechan GP Practice,DG11 3BT,GP Practice,Dumfries,-3.2646756,55.0588306
"Richard Greenhow Centre,",DG16 5AQ,Covid-19 Vaccination Clinic,Dumfries,-3.0673068,54.9944091
Langholm Town Hall,DG13 0JQ,Covid-19 Vaccination Clinic,Dumfries,-2.9982601,55.1508202
Canonbie Village Hall,DG14 0UX,Covid-19 Vaccination Clinic,Dumfries,-2.952282,55.078956
Moffat Hospital ,DG10 9JY,Covid-19 Vaccination Clinic,Dumfries,-3.4318804,55.3310478
Lochmaben Hospital,DG11 1RQ,Covid-19 Vaccination Clinic,Dumfries,-3.4532328,55.127749
Lockerbie Ice Rink,DG11 2AR,Covid-19 Vaccination Clinic,Dumfries,-3.359681,55.126825
Galloway Community Hospital,DG9 7DQ,Covid-19 Vaccination Clinic,Dumfries,-5.0217343,54.8992215
Newton Stewart Hospital,DG8 6LZ,Covid-19 Vaccination Clinic,Dumfries,-4.4918302,54.9510986
HMP Dumfries,DG2 9AX,Covid-19 Vaccination Clinic,Dumfries,-3.6270406,55.0682765
Outpatients GCH 18th Dec 2020 - Clinic 2,DG9 7DQ,Covid-19 Vaccination Clinic,Dumfries,-5.0217343,54.8992215
Outpatients GCH 18th Dec 2020 - Clinic 1,DG9 7DQ,Covid-19 Vaccination Clinic,Dumfries,-5.0217343,54.8992215
"Corn Exchange, Cupar",KY15 4BT,Covid-19 Vaccination Clinic,Fife,-3.0112559,56.3197243
Dunfermline East Church,KY11 8LW,Covid-19 Vaccination Clinic,Fife,-3.4022291,56.0619455
Dunfermline Athletic Football Club,KY12 7RB ,Covid-19 Vaccination Clinic,Fife,-3.4418937,56.0755685
East Neuk Centre Anstruther,KY10 3EX,Covid-19 Vaccination Clinic,Fife,-2.6974932,56.2241198
Larick centre,DD6 9EA,Covid-19 Vaccination Clinic,Fife,-2.8725722,56.4417278
Lochgelly Centre,KY5 9 RD,Covid-19 Vaccination Clinic,Fife,-3.3107851,56.1292525
Parkgate centre,KY11 2JW,Covid-19 Vaccination Clinic,Fife,-3.4199247,56.0395578
Rothes Halls,KY7 5NB,Covid-19 Vaccination Clinic,Fife,-3.1762047,56.195578
"Randolph Wemyss Memorial Hospital, Buckhaven",KY8 1HU,Covid-19 Vaccination Clinic,Fife,-3.0278779,56.1764239
St Andrews Community Hospital,KY16 8AR,Covid-19 Vaccination Clinic,Fife,-2.8056523,56.3274853
Templehall Community Centre,KY2 6EX,Covid-19 Vaccination Clinic,Fife,-3.184161,56.1273865
ANSTRUTHER MEDICAL PRACTICE,KY10 3FF,Primary Care Delivery Site,Fife,-2.6918273,56.227395
MUIREDGE SURGERY,KY8 1HJ,Primary Care Delivery Site,Fife,-3.0394307,56.1759589
Burntisland Medical Group,KY3 9DF,Primary Care Delivery Site,Fife,-3.2308322,56.0589122
The Links Practice,KY3 9DF,Primary Care Delivery Site,Fife,-3.2308322,56.0589122
WALLSGREEN MEDICAL PRACTICE,KY5 0JE,Primary Care Delivery Site,Fife,-3.2636803,56.1464826
COWDENBEATH SURGERY,KY4 9DH,Primary Care Delivery Site,Fife,-3.3516636,56.1108324
CROSSGATES MEDICAL PRACTICE,KY4 8DF,Primary Care Delivery Site,Fife,-3.3728944,56.0879106
EDEN VILLA PRACTICE,KY15 4JN,Primary Care Delivery Site,Fife,-3.0163776,56.3232404
BANK STREET MEDICAL GROUP,KY15 4JN,Primary Care Delivery Site,Fife,-3.0163776,56.3232404
NETHERTOWN SURGERY,KY11 4TF,Primary Care Delivery Site,Fife,-3.4519979,56.0661411
NEW PARK MEDICAL PRACTICE,KY12 0BL,Primary Care Delivery Site,Fife,-3.4330871,56.0824282
